user,time,lat,lon,device,anomaly,login_hour,distance_km,new_device
bob,2025-10-06 08:14:30.062937,34.12955488620583,-118.19783481709679,Tablet,0,8,9.582463570868969,0
alice,2025-10-05 08:14:30.062940,40.65880467801109,-73.92969646233426,Phone,0,8,8.800114121178318,0
alice,2025-10-05 07:14:30.062943,40.74243444653639,-73.94305484579706,Phone,0,7,6.244359356335768,0
bob,2025-10-05 10:14:30.062946,34.06520013703063,-118.15611530534808,Laptop,0,10,8.196862108403113,0
bob,2025-10-05 12:14:30.062949,34.027514232928894,-118.15479647126014,Tablet,0,12,8.639366941259361,0
alice,2025-10-04 17:14:30.062953,40.76924991145804,-73.90838594261216,Tablet,0,17,10.34562286243298,0
alice,2025-10-04 15:14:30.062956,40.77101174348077,-74.00112365919391,Tablet,0,15,6.485874449178642,0
bob,2025-10-04 18:14:30.062959,34.08906431910715,-118.31552089779073,Phone,0,18,7.782338283614167,0
bob,2025-10-04 08:14:30.062962,34.02454675150008,-118.30343571280866,Tablet,0,8,6.304887593346305,0
alice,2025-10-03 19:14:30.062965,40.70118727380713,-74.03510373710354,Laptop,0,19,2.7722953609175693,0
alice,2025-10-03 07:14:30.062968,40.67631642336933,-74.08113070153684,Laptop,0,7,7.521847622894354,0
bob,2025-10-03 20:14:30.062971,34.10197472543438,-118.25031747821096,Tablet,0,20,5.56815336373258,0
bob,2025-10-03 20:14:30.062974,33.96460584997677,-118.21419254241354,Tablet,0,20,10.112654120403228,0
alice,2025-10-02 09:14:30.062977,40.75421083418399,-74.03795955320746,Phone,0,9,5.334276482923759,0
alice,2025-10-02 12:14:30.062980,40.63875348581195,-74.09703461646757,Laptop,0,12,11.257420000652303,0
bob,2025-10-02 14:14:30.062983,33.983854386776436,-118.24167144226158,Tablet,0,14,7.601984863503405,0
bob,2025-10-02 10:14:30.062986,33.956786172524836,-118.14718559561932,Phone,0,10,13.846053790245108,0
alice,2025-10-01 09:14:30.062989,40.8114570303916,-73.96241388251573,Tablet,0,9,11.568060007304897,0
alice,2025-10-01 19:14:30.062993,40.78091164865786,-73.90675790463148,Tablet,0,19,11.280730611824834,0
bob,2025-10-01 11:14:30.062996,34.125719132019206,-118.17969056014788,Tablet,0,11,10.07844748777992,0
bob,2025-10-01 20:14:30.062999,33.980852837387744,-118.19931962217262,Phone,0,20,8.92585389311677,0
alice,2025-09-30 18:14:30.063002,40.690179583868215,-74.00291125064271,Laptop,0,18,2.5287165802654905,0
alice,2025-09-30 15:14:30.063005,40.711716947481506,-73.96537239929614,Phone,0,15,3.4264215173729107,0
bob,2025-09-30 18:14:30.063008,34.119794664834124,-118.31719125963268,Laptop,0,18,10.114227193317681,0
bob,2025-09-30 13:14:30.063011,34.05657762327833,-118.22253769556828,Phone,0,13,2.0094413166371066,0
alice,2025-09-29 12:14:30.063014,40.80463078573918,-73.92801753102916,Phone,0,12,12.141163461708004,0
alice,2025-09-29 17:14:30.063017,40.64816487808417,-73.92924614463006,Laptop,0,17,9.671866644931441,0
bob,2025-09-29 08:14:30.063020,33.973674175417855,-118.2657989689633,Phone,0,8,8.966102248546997,0
bob,2025-09-29 11:14:30.063023,33.954793828529795,-118.237340945002,Laptop,0,11,10.84692279032488,0
alice,2025-09-28 10:14:30.063026,40.627439928149876,-74.02599009148562,Phone,0,10,9.640175028720183,0
alice,2025-09-28 19:14:30.063029,40.81067114321596,-73.99037962260196,Tablet,0,19,10.962004916195896,0
bob,2025-09-28 12:14:30.063032,34.01059910139274,-118.25509641048521,Phone,0,12,4.743521931647535,0
bob,2025-09-28 20:14:30.063035,34.059558939745244,-118.32978859512613,Phone,0,20,7.972934657536987,0
alice,2025-09-27 15:14:30.063038,40.73966165376583,-73.91682797693856,Phone,0,15,8.086172182264436,0
alice,2025-09-27 17:14:30.063041,40.65452637094749,-74.06250905650721,Laptop,0,17,8.043095651782513,0
bob,2025-09-27 20:14:30.063044,34.02461078764766,-118.23578607054984,Tablet,0,20,3.1532569758090325,0
bob,2025-09-27 18:14:30.063047,34.00646878807255,-118.33418198784082,Phone,0,18,9.766435179274033,0
alice,2025-09-26 13:14:30.063050,40.69751114837978,-73.96346167410057,Phone,0,13,3.968327623882492,0
alice,2025-09-26 17:14:30.063053,40.74612889183703,-74.0998244484539,Laptop,0,17,8.731480687926604,0
bob,2025-09-26 10:14:30.063056,33.97525813998256,-118.23006223641757,Tablet,0,10,8.64739075750874,0
bob,2025-09-26 09:14:30.063091,34.09700222340817,-118.21844843962765,Tablet,0,9,5.497936366824742,0
alice,2025-09-25 20:14:30.063100,40.68559735987818,-73.94962258637035,Tablet,0,20,5.633618631321021,0
alice,2025-09-25 10:14:30.063106,40.6216189201643,-73.92660134060614,Laptop,0,10,12.150799128355857,0
bob,2025-09-25 20:14:30.063110,34.09949985792861,-118.28329266684125,Laptop,0,20,6.39999367381481,0
bob,2025-09-25 10:14:30.063120,33.983916173644396,-118.34187478466362,Phone,0,10,11.811962883024613,0
alice,2025-09-24 11:14:30.063123,40.64958784754195,-73.95795702803143,Laptop,0,11,8.11278189373683,0
alice,2025-09-24 11:14:30.063127,40.71808373152396,-73.93191814878712,Phone,0,11,6.271284864676197,0
bob,2025-09-24 09:14:30.063130,34.03948903520439,-118.3246477617211,Laptop,0,9,7.5908664892487625,0
bob,2025-09-24 20:14:30.063133,33.956633613993446,-118.18218803950863,Phone,0,20,12.044636452780988,0
alice,2025-09-23 14:14:30.063137,40.747638688791,-74.05344453456166,Tablet,0,14,5.566805902169688,0
alice,2025-09-23 09:14:30.063140,40.68371310088573,-73.9666466860107,Laptop,0,9,4.633277010414312,0
bob,2025-09-23 15:14:30.063143,34.130450207605705,-118.31511625233331,Laptop,0,15,10.906738031075461,0
bob,2025-09-23 15:14:30.063146,34.13905539561248,-118.21104372753128,Phone,0,15,10.1151759949431,0
alice,2025-09-22 13:14:30.063149,40.80053740204786,-73.94843267157202,Laptop,0,13,10.894485789691347,0
alice,2025-09-22 14:14:30.063153,40.63005203718347,-73.99895725716249,Laptop,0,14,9.220304771370902,0
bob,2025-09-22 07:14:30.063156,33.984768468262864,-118.22071008038279,Laptop,0,7,7.7916769914315855,0
bob,2025-09-22 08:14:30.063159,33.98583305569107,-118.29826616695935,Tablet,0,8,8.930328186206774,0
alice,2025-09-21 08:14:30.063203,40.75948253577979,-73.94346194051059,Laptop,0,8,7.396544621544876,0
alice,2025-09-21 15:14:30.063220,40.69841415124041,-73.95664585384549,Tablet,0,15,4.457175123480077,0
bob,2025-09-21 17:14:30.063226,34.053998413391156,-118.2056159469165,Phone,0,17,3.5142678706649733,0
bob,2025-09-21 11:14:30.063229,34.13295605515733,-118.29825109083326,Tablet,0,11,10.289208770952852,0
alice,2025-09-20 15:14:30.063233,40.692121988616506,-73.94654282406893,Tablet,0,15,5.514330208912782,0
alice,2025-09-20 17:14:30.063237,40.631998017335974,-74.07960119564348,Laptop,0,17,10.92041364461942,0
bob,2025-09-20 08:14:30.063241,34.02599193874148,-118.32422911238558,Laptop,0,8,7.971890975719842,0
bob,2025-09-20 17:14:30.063244,34.08413597063138,-118.25820607479162,Laptop,0,17,3.794176528577191,0
alice,2025-09-19 10:14:30.063247,40.705105949480625,-74.06186123857434,Tablet,0,10,4.7856028985739565,0
alice,2025-09-19 16:14:30.063250,40.65266784208447,-74.04144569922389,Laptop,0,16,7.324013402790031,0
bob,2025-09-19 09:14:30.063254,33.95828586501761,-118.2566852796244,Laptop,0,9,10.511151040563425,0
bob,2025-09-19 16:14:30.063257,34.08550330202443,-118.1922523951791,Phone,0,16,6.01414712312697,0
alice,2025-09-18 16:14:30.063260,40.64422883994975,-74.01062123191132,Laptop,0,16,7.634717284099094,0
alice,2025-09-18 19:14:30.063263,40.644081277687704,-73.96157006645859,Laptop,0,19,8.510298483894232,0
bob,2025-09-18 19:14:30.063267,34.00718261567811,-118.33791491622696,Phone,0,19,10.02181037680874,0
bob,2025-09-18 10:14:30.063270,34.143027879132305,-118.16860571178637,Phone,0,10,12.239826941434018,0
alice,2025-09-17 14:14:30.063273,40.68575214699535,-73.95669464998933,Phone,0,14,5.130518604244913,0
alice,2025-09-17 13:14:30.063276,40.620118142592226,-73.91119730666118,Tablet,0,13,13.043917467208912,0
bob,2025-09-17 15:14:30.063279,34.090159457320105,-118.26192349527642,Laptop,0,15,4.5424021505640955,0
bob,2025-09-17 09:14:30.063282,33.99636634112001,-118.18459062551328,Laptop,0,9,8.259474426885696,0
alice,2025-09-16 07:14:30.063286,40.67543076811622,-73.90757059163568,Phone,0,7,9.280608354018144,0
alice,2025-09-16 07:14:30.063289,40.7737724411262,-73.95523992347219,Laptop,0,7,8.015797818516356,0
bob,2025-09-16 09:14:30.063293,34.061646687038106,-118.16287236698757,Tablet,0,9,7.519806887039534,0
bob,2025-09-16 13:14:30.063296,34.04808265643348,-118.33568992973794,Phone,0,13,8.487418573329577,0
alice,2025-09-15 17:14:30.063300,40.63786899976257,-74.0664583926689,Laptop,0,17,9.76815008901011,0
alice,2025-09-15 08:14:30.063303,40.63141978096589,-74.02904609319174,Laptop,0,8,9.255444820015024,0
bob,2025-09-15 12:14:30.063306,34.08421438545994,-118.24973482250904,Tablet,0,12,3.6029757779894256,0
bob,2025-09-15 07:14:30.063309,34.14102915992242,-118.30075300397525,Phone,0,7,11.187518953828958,0
alice,2025-10-14 22:14:30.063475,48.8566,2.3522,Unknown,1,22,5837.24090382584,1
bob,2025-10-14 02:14:30.063528,34.05,-118.24,Laptop,1,2,0.4195727687542208,0
